date,postId,text,likesCount,repostsCount,commentsCount,viewsCount,url,_id
2020-05-04T17:39:32+03:00,7483,"}1 ИКТИБ НА УДАЛЕНКЕ 
 
Графики добора баллов, пересдач и работы комиссий по приему задолженностей 👉🏻 http://ictis.sfedu.ru/grafiki-dobora-ballov/ 
 
❓Как получить социальную стипендию? 
 
1. Заполни заявление и подписать его.
2. Сделай скан или качественное фото заявления и подтверждающего документа.
3. Отправь сканы заявления и документа со своей почты sfedu на kumov@sfedu.ru. 
Шаблоны документов тут https://vk.com/ictis_sfedu?w=wall-48632629_7300
 
❓Как получить материальную поддержку? 
 
1. Заполни заявление и укажи одну или несколько причин из пункта 2.7 прикрепленного к посту положения.
2. Подпиши заявление.
3. Загрузи сканы или фотографии заявления и подтверждающих документов единым PDF-файлом по ссылке https://vk.cc/arUoRY в срок до 15.05.2020 г. (авторизация через @sfedu.ru).
Шаблоны документов тут https://vk.com/ictis_sfedu?w=wall-48632629_7300

📞По вопросам получения справок об оказании адресной помощи для оформления социальной стипендии обращаться по телефону +7 (8634) 47-72-06 или +7 (8634) 47-72-16
 
❓Как получить справки от дирекции? 
 
1. Перейди по ссылке: https://forms.office.com/Pages/ResponsePage.aspx?id=XUO6GWzkakOE8hsB5pPkgJQJiPBUcYBHs2pnMbkh239URFgySlk3V05MSTJXVU5GMkQ3M1ZNT1JXRS4u
2. Войди через учётную запись @sfedu.ru.
3. Заполни форму.
 
После перехода университета в обычный режим работы, принеси все оригиналы документов в И-205.",6,1,1,3144,vk.com/wall-48632629_7483,5f00910eb54d3850c4041219
2020-07-04T15:25:54+03:00,7743,"}1 МАШИННОЕ ОБУЧЕНИЕ

👨‍💻Машинное обучение — класс методов искусственного интеллекта, характерной чертой которых является не прямое решение задачи, а обучение в процессе применения решений множества сходных задач. Для построения таких методов используются средства математической статистики, численных методов, методов оптимизации, теории вероятностей, теории графов, различные техники работы с данными в цифровой форме.

📊Если вы следите за новостями из мира высоких информационных технологий, то, безусловно, заметили, что каждая чуть ли не вторая новость посвящена тому, что в очередной раз выдумали учёные, используя искусственный интеллект и алгоритмы машинного обучения. 

Перспективность этих направлений и повышенную востребованность соответствующих экспертов сегодня подтверждает как российский, так и мировой рынок труда. Например, за период с 2012 по 2016 годы число вакансий в России с упоминанием машинного обучения выросло в 18 раз, что доказывается исследованиями Micrоsoft. А число вакансий, где упоминалась big data, за тот же период возросло почти в 30 раз. 

💻Анализ больших данных всё более востребован в финансах, маркетинге и даже HR. Кроме того, появляется всё больше приложений, работающих с огромными объёмами данных, которые нужно обрабатывать, поэтому спрос на таких специалистов будет расти.

Источник: https://otus.ru/",0,0,0,197,vk.com/wall-48632629_7743,5f00910eb54d3850c404121a
2020-07-04T14:28:48+03:00,7742,"}1 02.03.03 ПРИКЛАДНАЯ ИНФОРМАТИКА

""Мы убеждены, что фундамент IT-профессии составляют специалисты, которые занимаются проектированием, разработкой, отладкой и администрированием программного обеспечения. Именно таких профессионалов готовят на нашем направлении.

Студенты изучают у нас самые перспективные и востребованные языки программирования: от объектно-ориентированного С++ до Python и Haskell, от низкоуровневого ассемблера до эко-систем Java. Студенты направления осваивают алгоритмизацию и структурирование данных, методологии разработки и оценки продукта, техники тестировки и верификации, администрированием информационных и операционных систем. Практики проводятся с опытными наставниками из региональных IT-компаний"".",2,0,0,342,vk.com/wall-48632629_7742,5f00910eb54d3850c404121b
2020-07-03T13:38:04+03:00,7741,"}1 09.03.04 ПРОГРАММНАЯ ИНЖЕНЕРИЯ

👨‍🏫Преподаватели рассказали о направлении бакалавриата Программная инженерия.

""Здесь вам придётся изучать языки программирования, методологии программных продуктов, техническую тестировку. А главное - здесь вам предстоит каждый день узнавать что-то новое. Преподавательский состав будет относиться к вам, как к потенциальным коллегам.

Большинство наших ребят упорно работают и достигают серьезных результатов на больших олимпиадах и хакатонах"".",3,0,0,735,vk.com/wall-48632629_7741,5f00910eb54d3850c404121c
2020-07-02T19:01:03+03:00,7739,"}1 НАУЧНАЯ ШКОЛА «ПРИМЕНЕНИЕ ТЕХНОЛОГИЙ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА ДЛЯ АНАЛИЗА МЕДИЦИНСКИХ ИЗОБРАЖЕНИЙ

⏰Когда: с 27 по 31 июля
📍Правила конкурсного отбора: https://sochisirius.ru/obuchenie/graduates/smena662/.

🤩АНО ВО ""Университет ""Сириус"" (г. Сочи) проводит 
научную школу «Применение технологий искусственного интеллекта для анализа медицинских  данных».

Научная школа «Применение технологий искусственного интеллекта для анализа 
медицинских изображений» направлена на вовлечение студентов в исследования по теме анализа медицинских изображений с использованием технологий искусственного интеллекта. Программа рассчитана на студентов, знакомых с основами теорий машинного обучения и 
языком программирования Python, желающих углубить свои знания.

👩‍🏫В процессе освоения, учащиеся познакомятся с особенностями медицинских изображений, как
модальностью данных, разберут теорию и воспользуются на практике алгоритмами машинного 
обучения и компьютерного зрения для анализа медицинских изображений. Практические задания 
построены на основе исследований центра искусственного интеллекта Университета Иннополис с использованием реальных данных, полученных из медицинских организаций.

💁🏻‍♂️Участники, продемонстрировавшие отличный результат в ходе освоения программы, могут быть приглашены 
для прохождения удаленной стажировки в центре искусственного интеллекта университета.

😉Подавай свою заявку!",0,0,0,537,vk.com/wall-48632629_7739,5f00910eb54d3850c404121d
2020-07-01T16:27:56+03:00,7736,"}1 БЕСПЛАТНЫЕ КУРСЫ ДЛЯ ПОСТУПАЮЩИХ

😉Бесплатные курсы пройдут на платформе Microsoft Teams. Для подключения необходимо перейти по ссылке на соответствующее занятие (указано в таблице), указать свое имя и фамилию. Работа производится через браузер Google Chrome или Edge. 

👉🏻Ссылки на таблицы с расписанием (расписание на последующие занятия будет формироваться постепенно, чтобы учесть занятость и возможности всех обучающихся).

1. Математика: https://docs.google.com/spreadsheets/d/1aPzaT-DpcXDizu14bUzRNtO6WU17hZWGDnLfFOYuKVY/edit#gid=0
2. Информатика и ИКТ: https://docs.google.com/spreadsheets/d/10Z6YnueEbioRO5pTLV2YK0ViDW5-P5jvBKYlIvFKyJI/edit#gid=0",7,2,2,954,vk.com/wall-48632629_7736,5f00910eb54d3850c404121e
2020-07-01T12:45:34+03:00,7734,"}1 09.05.01 ПРИМЕНЕНИЕ И ЭКСПЛУАТАЦИЯ АВТОМАТИЗИРОВАННЫХ СИСТЕМ СПЕЦИАЛЬНОГО НАЗНАЧЕНИЯ 
 
💁‍♂Вешкин Иван в этом году оканчивает 1-ый курс специалитета. Он ответил нам на пару вопросов. 
 
Какие были первые впечатления после поступления? 
 
""Я поступил на это направление в сентябре 2019-го года. В начале я не знал, что меня будет ожидать, но как только учёба началась, я не был разочарован. Самое интересное было то, что ряд предметов велся на английском языке. Всё это дало огромный толчок к учёбе. Нас начали учить программировать на С. Обучали практически с нуля. Это позволило заложить прочную базу, которая помогла во 2-ом семестре, где мы уже писали код на С++ и С#"". 
 
Что ты ожидаешь от учебы в дальнейшем? 
 
""Ещё не понятно, какие дисциплины мы будем изучать в следующем семестре, но я знаю только то, что тех знаний которые мне дали на 1-ом курсе хватило для того, чтобы решить техническое задание для стажировки"". 
 
Чем занимаешься сейчас? 
 
""На данный момент мы с командой разрабатываем игру на Unity «Loked in Box» в рамках студенческого проекта, но не намерены останавливаться на этом. Когда мы её доработаем, то выложим в Google Play и Steam. Я уверен, что дальше будет только интереснее и с нетерпением жду продолжения обучения"".",24,0,0,1487,vk.com/wall-48632629_7734,5f00910eb54d3850c404121f
2020-06-29T12:00:15+03:00,7733,"}1 27.03.03 СИСТЕМНЫЙ АНАЛИЗ И УПРАВЛЕНИЕ

👨‍💼Дукалев Юрий заканчивает бакалавриат. Он рассказал нам, чем занимался на своей специальности.

Чему тебя научили в ВУЗе?

""Моё направление не совсем связанно с программированием, но я изучаю 2 языка программирования (С# и JavaScript) , умею работать с документами(оформление разнообразных отчётов, курсовых по ГОСТУ), на 1 и 2 курсе была работа с проектами, где я получил много знаний по своему направлению. На курсах постарше я изучал теорию автоматического управления. Это было очень интересно, была практика в работе с программами Matlab, Maple"".
 
Какие планы на будущее?

""После окончания бакалавриата, я хочу идти дальше и пойти в магистратуру, и получать больше знаний, для того чтобы устроится на нормальную работу"".",23,0,0,1563,vk.com/wall-48632629_7733,5f00910eb54d3850c4041220
2020-06-28T19:34:17+03:00,7731,"Дорогой друг!

😁Мы предлагаем тебе ознакомиться с 3-мя наиболее перспективными направлениями в ИТ с точки зрения инженеров из Micrоsoft. Эти направления становятся всё популярнее, а в будущем популярность только вырастет.

😉О самом популярном направлении выпустим статью.",10,0,0,1133,vk.com/wall-48632629_7731,5f00910eb54d3850c4041221
2020-06-27T19:43:08+03:00,7728,"}1 10.05.02 ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ ТЕЛЕКОММУНИКАЦИОННЫХ СИСТЕМ

💁🏻‍♂Махонченко Роман учится на специалитете.

Какие дисциплины у тебя были?

""За время обучения освоил множество дисциплин, как общеинститутских(история, философия, безопасность жизнедеятельности и т.п.), так и специализированных – Теория электрической связи, Теория информации, Стандарты и оформление инженерной документации, Основы IP-телефонии, Техническая Защита Информации, и прочие. Во время изучения дисциплин, как подразумевает система высшего образования, студент получает возможность развить и натренировать необходимые в дальнейшей работе компетенции"".

Чему ты научился за это время?

""Я приобрел хорошие навыки в оформлении инженерной документации, использовании различных программных комплексов, необходимыми в работе инженеру (системы моделирования, среды программирования, графические и текстовые редакторы, среды для администрирования сетей, а также операционные системы); изучил принципы работы и правила эксплуатации аппаратной базы, используемой в работе инженера телекоммуникационных сетей; и в конечном счёте получить более-менее систематизированную базу знаний о специальности и о дальнейшей работе"".",19,0,0,1596,vk.com/wall-48632629_7728,5f00910eb54d3850c4041222
